country,area,population,life exp,GDP1000,energy,corruption
uk,243610,65637,81.6,36.45,4.59,82
usa,9831510,323128,78.7,52.07,12.1,75
afghanistan,652860,34656,63.3,0.51,0.13,15
belgium,30530,11348,81.3,37.25,7.22,75
brazil,8515770,207653,75.2,7.81,2.41,37
china,9562911,1378665,76.1,7.34,4.9,41
germany,357380,82668,81.1,38.01,6.22,81
italy,301340,60601,83.5,27.71,4.88,50
japan,377962,126995,83.8,35.14,7.35,73
morocco,446550,35277,75.5,2.65,0.76,40
nigeria,923770,185990,53,1.97,0.13,27
russia,17098250,144342,70.9,8.03,6.17,29
s korea,100280,51246,82.2,24.88,9.7,54
n korea,120540,25369,71.2,0.13,0.43,17
